Country / Territory,Year,Date of Event,Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
Afghanistan,2019,2019-05-24,44,Weather related,Mass Movement,Avalanche
Colombia,2019,2019-04-20,207,Weather related,Flood,Flood
Afghanistan,2019,2019-05-24,29,Weather related,Flood,Flood
Colombia,2015,2015-06-25,4,Weather related,Flood,Flood
Indonesia,2019,2019-04-25,2370,Weather related,Flood,Flood
Poland,2019,2019-06-19,18,Weather related,Flood,Flood
Indonesia,2019,2019-05-19,5,Weather related,Storm,Storm
Japan,2019,2019-01-03,37,Geophysical,Earthquake,Earthquake
Afghanistan,2019,2019-05-16,30,Weather related,Flood,Flood
Afghanistan,2019,2019-05-16,13177,Weather related,Flood,Flood
China,2019,2019-01-03,77,Geophysical,Earthquake,Earthquake
Indonesia,2019,2019-04-14,36,Weather related,Flood,Flood
Austria,2019,2019-01-05,32,Weather related,Mass Movement,Avalanche
Ghana,2019,2019-05-20,200,Weather related,Flood,Flood
Bangladesh,2019,2019-05-24,800,Weather related,Storm,Storm
Indonesia,2019,2019-05-02,4,Weather related,Storm,Storm
Brazil,2019,2019-10-14,21,Weather related,Storm,Storm
Fiji,2019,2019-01-02,2327,Weather related,Storm,Typhoon/Hurricane/Cyclone
Papua New Guinea,2019,2019-01-14,118,Weather related,Flood,Flood
Indonesia,2019,2019-01-28,24,Weather related,Flood,Flood
Indonesia,2019,2019-02-19,4,Weather related,Mass Movement,Avalanche
Norway,2019,2019-01-10,144,Weather related,Storm,Winter storm/Blizzard
Madagascar,2019,2019-01-19,87,Weather related,Storm,Storm
Myanmar,2019,2019-01-08,529,Weather related,Storm,Storm
Indonesia,2019,2019-01-17,18,Weather related,Storm,Storm
Malawi,2019,2019-01-10,176,Weather related,Flood,Flood
Argentina,2019,2019-04-23,1800,Weather related,Flood,Flood
United States,2019,2019-02-23,16,Weather related,Flood,Flood
Argentina,2019,2019-05-09,700,Weather related,Flood,Flood
Indonesia,2019,2019-02-11,5,Weather related,Mass Movement,Avalanche
Italy,2019,2019-05-13,17,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-01-07,4,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-01-17,25,Weather related,Storm,Storm
Indonesia,2019,2019-01-08,4,Weather related,Storm,Storm
Türkiye,2019,2019-05-16,288,Weather related,Mass Movement,Avalanche
Nepal,2019,2019-04-14,16,Weather related,Storm,Storm
Colombia,2019,2019-02-24,196,Weather related,Wildfire,Wildfire
United States,2019,2019-04-14,52,Weather related,Storm,Storm
Indonesia,2019,2019-05-02,4,Weather related,Storm,Storm
Nepal,2019,2019-04-14,4,Weather related,Flood,Flood
Bangladesh,2019,2019-06-27,200,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-05-07,4,Weather related,Storm,Storm
Nepal,2019,2019-04-16,4,Weather related,Storm,Storm
Indonesia,2019,2019-01-18,4,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-01-08,4,Weather related,Storm,Storm
Indonesia,2019,2019-01-09,5,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-01-02,43,Weather related,Storm,Storm
Indonesia,2019,2019-01-02,14,Weather related,Storm,Storm
Indonesia,2019,2019-01-02,4,Weather related,Storm,Storm
